Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
The Intouchables,2011,112,8.5,57,823686,13180000,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
3 Idiots,2009,170,8.5,67,381286,6530000,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
The Prestige,2006,130,8.5,66,1283055,53090000,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,2006,151,8.5,85,1275443,132380000,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Memento,2000,113,8.5,80,1198595,25540000,A man with short-term memory loss attempts to track down his wife's murderer.
Gladiator,2000,155,8.5,67,1441697,187710000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
American History X,1998,119,8.5,62,1089655,6720000,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
The Usual Suspects,1995,106,8.5,77,1053821,23340000,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
The Lion King,1994,88,8.5,88,1014678,422780000,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
Nuovo Cinema Paradiso,1988,155,8.5,80,252466,11990000,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Apocalypse Now,1979,147,8.5,94,645957,83470000,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Alien,1979,117,8.5,89,846430,78900000,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
Once Upon a Time in the West,1968,165,8.5,80,321365,5320000,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Psycho,1960,109,8.5,97,648214,32000000,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Rear Window,1954,112,8.5,100,477246,36760000,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Casablanca,1942,102,8.5,100,555841,1020000,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Modern Times,1936,87,8.5,96,235395,160000,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
City Lights,1931,87,8.5,99,180393,20000,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Uri: The Surgical Strike,2019,138,8.4,79,56623,4190000,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
Capharnaüm,2018,126,8.4,75,82927,1660000,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Joker,2019,122,8.4,59,1160925,335450000,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Kimi no na wa.,2016,106,8.4,79,244361,5020000,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Dangal,2016,161,8.4,79,179724,12390000,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Spider-Man: Into the Spider-Verse,2018,117,8.4,87,477205,190240000,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Avengers: Endgame,2019,181,8.4,78,1025894,858370000,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Coco,2017,105,8.4,81,467388,209730000,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Dark Knight Rises,2012,164,8.4,78,1631570,448140000,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Taare Zameen Par,2007,165,8.4,79,186748,1220000,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
WALL·E,2008,98,8.4,95,1074131,223810000,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
The Lives of Others,2006,137,8.4,89,380866,11290000,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
