Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Dial M for Murder,1954,105,8.2,75,171152,10000,A former tennis star arranges the murder of his adulterous wife.
Rashômon,1950,88,8.2,98,164287,100000,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
The Treasure of the Sierra Madre,1948,126,8.2,98,122279,5010000,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Gone with the Wind,1939,238,8.2,97,308072,198680000,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
La passion de Jeanne d'Arc,1928,110,8.2,79,53032,20000,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
The General,1926,67,8.2,79,89181,1030000,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
The Gold Rush,1925,95,8.2,79,108995,5450000,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
Sherlock Jr.,1924,45,8.2,79,47930,980000,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Portrait de la jeune fille en feu,2019,122,8.1,95,84258,3760000,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman."
Super 30,2019,154,8.1,79,29172,2270000,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
Pink,2016,136,8.1,79,43852,1240000,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88,484832,54510000,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
Talvar,2015,132,8.1,79,34389,340000,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
M.S. Dhoni: The Untold Story,2016,184,8.1,79,51894,1780000,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
Ah-ga-ssi,2016,145,8.1,84,135988,2009999,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Haider,2014,160,8.1,79,53540,900000,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
Logan,2017,137,8.1,77,718835,226280000,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Room,2015,118,8.1,86,405151,14680000,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Relatos salvajes,2014,122,8.1,77,191987,3110000,Six short stories that explore the extremities of human behavior involving people in distress.
Mandariinid,2013,87,8.1,73,45432,140000,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in."
Kis Uykusu,2014,196,8.1,88,50772,170000,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
Bãhubali: The Beginning,2015,159,8.1,79,112900,6740000,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
Special Chabbis,2013,144,8.1,79,55121,1080000,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
The Grand Budapest Hotel,2014,99,8.1,88,773464,59100000,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Gone Girl,2014,149,8.1,79,941644,167770000,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Hacksaw Ridge,2016,139,8.1,71,494291,67210000,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
12 Years a Slave,2013,134,8.1,96,680884,56670000,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
Guardians of the Galaxy,2014,121,8.1,76,1129415,333180000,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
Rush,2013,123,8.1,74,464810,26950000,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Ford v Ferrari,2019,152,8.1,81,359032,117620000,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Spotlight,2015,129,8.1,93,455592,45060000,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Song of the Sea,2014,93,8.1,85,56907,860000,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
Kahaani,2012,122,8.1,79,61945,1040000,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him."
Udaan,2010,134,8.1,79,44524,10000,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
The Help,2011,146,8.1,62,446381,169710000,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
Prisoners,2013,153,8.1,70,669500,61000000,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Mad Max: Fury Road,2015,120,8.1,90,959121,154060000,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Gran Torino,2008,116,8.1,72,757231,148100000,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
How to Train Your Dragon,2010,98,8.1,75,713212,217580000,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
The Avengers,2012,143,8.1,69,1343954,623280000,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Into the Wild,2007,148,8.1,73,608374,18350000,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Lage Raho Munna Bhai,2006,144,8.1,79,46158,2220000,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
Rang De Basanti,2006,167,8.1,79,117822,2200000,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
Million Dollar Baby,2004,132,8.1,86,671136,100490000,A determined woman works with a hardened boxing trainer to become a professional.
Hotel Rwanda,2004,121,8.1,79,349229,23530000,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Ratatouille,2007,111,8.1,96,691857,206450000,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
Before Sunset,2004,80,8.1,90,254944,5820000,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
Salinui chueok,2003,131,8.1,82,169358,10000,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63,1067615,305410000,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
The Incredibles,2004,115,8.1,90,700284,261440000,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
Dil Chahta Hai,2001,183,8.1,79,70844,300000,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
Catch Me If You Can,2002,141,8.1,75,927312,164620000,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Amores perros,2000,154,8.1,83,236055,5380000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
"Monsters, Inc.",2001,92,8.1,79,875543,289920000,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Lagaan: Once Upon a Time in India,2001,224,8.1,84,111381,70000,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
Festen,1998,105,8.1,82,85284,1650000,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
The Iron Giant,1999,86,8.1,85,185910,23160000,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
The Big Lebowski,1998,117,8.1,71,785036,17500000,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
Fa Yeung Nin Wah,2000,98,8.1,85,143387,2730000,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Fargo,1996,98,8.1,85,659373,24610000,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
Underground,1995,170,8.1,79,57760,170000,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
La haine,1995,98,8.1,79,166322,310000,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Before Sunrise,1995,101,8.1,77,295780,5540000,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Trois couleurs: Rouge,1994,99,8.1,100,100835,4040000,A model discovers a retired judge is keen on invading people's privacy.
In the Name of the Father,1993,133,8.1,84,170130,25010000,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Groundhog Day,1993,101,8.1,72,609233,70910000,A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.
Ba wang bie ji,1993,171,8.1,83,27838,5220000,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
Aladdin,1992,90,8.1,86,397336,217350000,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
Da hong deng long gao gao gua,1991,125,8.1,79,31979,2600000,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
Beauty and the Beast,1991,84,8.1,95,437310,218970000,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Dances with Wolves,1990,181,8.1,72,256659,184210000,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military."
Dom za vesanje,1988,142,8.1,79,30214,280000,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
Dead Poets Society,1989,128,8.1,79,466432,95860000,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Stand by Me,1986,89,8.1,75,389966,52290000,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Platoon,1986,120,8.1,92,403881,138530000,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Jean de Florette,1986,120,8.1,79,25439,4940000,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.
The Terminator,1984,107,8.1,84,835249,38400000,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
"Paris, Texas",1984,145,8.1,78,102827,2180000,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
Gandhi,1982,191,8.1,79,226345,52770000,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Fanny och Alexander,1982,188,8.1,100,62848,4970000,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
Blade Runner,1982,117,8.1,84,742956,32869999,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
Stalker,1979,162,8.1,79,130451,230000,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Life of Brian,1979,94,8.1,77,390119,20050000,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
The Deer Hunter,1978,183,8.1,86,331598,48980000,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
Rocky,1976,120,8.1,70,555219,117240000,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Jaws,1975,124,8.1,87,576833,260000000,"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
Paper Moon,1973,102,8.1,77,46392,30930000,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
The Exorcist,1973,122,8.1,81,387485,232910000,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
Cool Hand Luke,1967,127,8.1,92,173525,16219999,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Andrei Rublev,1966,205,8.1,79,52561,100000,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
The Sound of Music,1965,172,8.1,63,223308,163210000,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
La battaglia di Algeri,1966,121,8.1,96,58576,60000,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Jungfrukällan,1960,89,8.1,79,28666,1530000,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way."
Ben-Hur,1959,212,8.1,90,233565,74700000,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
Le notti di Cabiria,1957,110,8.1,79,47918,750000,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
On the Waterfront,1954,108,8.1,91,151634,9600000,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
Les diaboliques,1955,117,8.1,79,64954,1090000,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
Ace in the Hole,1951,111,8.1,72,35041,3970000,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
The Third Man,1949,104,8.1,97,168556,450000,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
The Red Shoes,1948,135,8.1,79,34096,10900000,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
The Best Years of Our Lives,1946,170,8.1,93,62378,23650000,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
The Shop Around the Corner,1940,99,8.1,96,32197,200000,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
Rebecca,1940,130,8.1,86,134116,4360000,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
The Grapes of Wrath,1940,129,8.1,96,90763,60000,"An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
The Wizard of Oz,1939,102,8.1,92,386537,2080000,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
Mr. Smith Goes to Washington,1939,129,8.1,73,113706,9600000,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
La Grande Illusion,1937,113,8.1,79,36038,170000,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
It Happened One Night,1934,105,8.1,87,101423,4360000,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
All Quiet on the Western Front,1930,152,8.1,91,60462,3270000,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
Sunrise: A Song of Two Humans,1927,94,8.1,79,50389,540000,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme."
La La Land,2016,128,8.0,94,559302,151100000,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
Lion,2016,118,8.0,69,230551,51740000,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
The Martian,2015,144,8.0,80,820904,228430000,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
Mommy,2014,139,8.0,74,55483,3490000,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
Zootopia,2016,108,8.0,78,476210,341270000,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Kaguya-hime no monogatari,2013,137,8.0,89,44533,1510000,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
The Imitation Game,2014,114,8.0,71,741254,91130000,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
X-Men: Days of Future Past,2014,132,8.0,75,693362,233920000,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Blade Runner 2049,2017,164,8.0,81,531238,92050000,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
Her,2013,126,8.0,91,585852,25570000,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
Bohemian Rhapsody,2018,134,8.0,49,510201,216430000,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
The Revenant,2015,156,8.0,76,770614,183640000,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
The Perks of Being a Wallflower,2012,103,8.0,67,494319,17740000,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,71,82169,100000,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
The King's Speech,2010,118,8.0,88,667649,138800000,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
Deadpool,2016,108,8.0,65,985267,363070000,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Darbareye Elly,2009,119,8.0,87,52434,110000,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
Dev.D,2009,144,8.0,79,30291,10000,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
My Name Is Khan,2010,165,8.0,50,104631,4019999,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
Okuribito,2008,130,8.0,68,51392,1500000,A newly unemployed cellist takes a job preparing the dead for funerals.
Slumdog Millionaire,2008,120,8.0,84,829863,141320000,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
Black Swan,2010,108,8.0,79,740931,106950000,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
Tropa de Elite,2007,115,8.0,33,102367,10000,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
Persepolis,2007,96,8.0,90,93301,4450000,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
Star Trek,2009,127,8.0,82,596155,257730000,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
Dallas Buyers Club,2013,117,8.0,79,473865,27300000,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
The Pursuit of Happyness,2006,117,8.0,64,490676,163570000,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Blood Diamond,2006,143,8.0,64,533112,57370000,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
The Bourne Ultimatum,2007,115,8.0,85,625068,227470000,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
Dare mo shiranai,2004,141,8.0,88,27223,680000,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
Sin City,2005,124,8.0,74,757617,74100000,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
Le scaphandre et le papillon,2007,112,8.0,92,106829,5990000,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
Taegukgi hwinalrimyeo,2004,140,8.0,64,39351,1110000,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
Casino Royale,2006,144,8.0,80,640116,167450000,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
Kill Bill: Vol. 2,2004,137,8.0,83,731705,66209999,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
Bom yeoreum gaeul gyeoul geurigo bom,2003,103,8.0,85,81761,2380000,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
Mar adentro,2004,126,8.0,74,80851,2089999,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die."
Cinderella Man,2005,144,8.0,69,184398,61650000,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
Kal Ho Naa Ho,2003,186,8.0,54,67662,1790000,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Mou gaan dou,2002,101,8.0,75,122967,170000,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
Big Fish,2003,125,8.0,58,433802,66260000,A frustrated son tries to determine the fact from fiction in his dying father's life.
Dogville,2003,178,8.0,60,146053,1530000,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Donnie Darko,2001,113,8.0,88,778745,1480000,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
Magnolia,1999,188,8.0,77,306152,22460000,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
Dancer in the Dark,2000,140,8.0,61,107977,4179999,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
The Straight Story,1999,112,8.0,86,88775,6200000,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
Pâfekuto burû,1997,81,8.0,79,70358,780000,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
Central do Brasil,1998,110,8.0,80,38974,5600000,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew."
La leggenda del pianista sull'oceano,1998,169,8.0,58,62954,260000,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
"Crna macka, beli macor",1998,127,8.0,73,53163,350000,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
Sling Blade,1996,135,8.0,84,92601,24480000,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
Secrets & Lies,1996,136,8.0,91,42300,13420000,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
Twelve Monkeys,1995,129,8.0,74,605565,57140000,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
Chung Hing sam lam,1994,102,8.0,78,76187,600000,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
The Nightmare Before Christmas,1993,76,8.0,82,324808,75080000,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
Scent of a Woman,1992,156,8.0,59,286478,63900000,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
JFK,1991,189,8.0,72,152371,70410000,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
Rain Man,1988,133,8.0,65,499987,178800000,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
Akira,1988,124,8.0,67,179477,550000,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
The Princess Bride,1987,98,8.0,77,418712,30860000,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Der Himmel über Berlin,1987,128,8.0,79,69517,3330000,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
Au revoir les enfants,1987,104,8.0,88,33297,4540000,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond."
Kaze no tani no Naushika,1984,117,8.0,86,165161,500000,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
Nostalgia,1983,125,8.0,79,26297,10000,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved."
A Christmas Story,1983,93,8.0,77,145866,20610000,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift."
Pink Floyd: The Wall,1982,95,8.0,47,79785,22240000,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
